0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.100000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.300000;0.000000;0.000000;0.000000;0.037435;0.037435;0.037435;0.084906;0.084906;0.127261;0.127261;0.127261;0.000000;0.000000;0.000000;0.042300;0.042300;0.127630;0.127630;0.127630;0.127220;0.127220;0.042435;0.042435;0.042435;0.042427;
0.400000;0.042427;0.042427;0.184336;0.184336;0.184336;0.254515;0.254515;0.254530;0.254530;0.254530;0.296954;0.296954;0.293655;0.293655;0.293655;0.296943;0.296943;0.339346;0.339346;0.339346;0.296085;0.296085;0.296085;0.297847;0.297847;
0.500000;0.296946;0.296946;0.296946;0.484987;0.484987;0.484987;0.678743;0.678743;0.721162;0.721162;0.721162;0.721209;0.721209;0.721209;0.722055;0.722055;0.720321;0.720321;0.720321;0.721191;0.721191;0.721200;0.721200;0.721200;0.721160;
0.600000;0.721160;0.721160;0.686793;0.686793;0.686793;0.933325;0.933325;0.886559;0.886559;0.886559;0.893371;0.893371;0.890751;0.890751;0.890751;0.891007;0.891007;0.891007;0.890764;0.890764;0.890908;0.890908;0.890908;0.933398;0.933398;
0.700000;0.877295;0.877295;0.877295;1.058194;1.058194;1.058194;1.361353;1.361353;1.315297;1.315297;1.315297;1.357427;1.357427;1.357427;1.315236;1.315236;1.314958;1.314958;1.314958;1.353623;1.353623;1.361638;1.361638;1.361638;1.315132;
0.800000;1.315132;1.315132;1.290359;1.290359;1.527122;1.527122;1.527122;1.484749;1.484749;1.484749;1.484870;1.484870;1.442385;1.442385;1.442385;1.484853;1.484853;1.468020;1.468020;1.468020;1.484605;1.484605;1.484605;1.484933;1.484933;
0.900000;1.484792;1.484792;1.484792;1.584960;1.584960;1.584960;1.781357;1.781357;1.762335;1.762335;1.762335;1.781419;1.781419;1.781419;1.782121;1.782121;1.792669;1.792669;1.792669;1.781192;1.781192;1.758545;1.758545;1.758545;1.758554;
1.000000;1.758554;1.758554;1.759791;1.759791;1.759791;2.084545;2.084545;2.005316;2.005316;2.005316;2.054996;2.054996;1.978857;1.978857;1.978857;2.078774;2.078774;2.078774;2.078461;2.078461;2.036536;2.036536;2.036536;2.036241;2.036241;
1.100000;2.009216;2.009216;2.009216;2.197516;2.197516;2.197516;2.302104;2.302104;2.375660;2.375660;2.375660;2.333343;2.333343;2.333343;2.333095;2.333095;2.306842;2.306842;2.306842;2.344125;2.344125;2.375669;2.375669;2.375669;2.333207;
1.200000;2.333207;2.333207;2.227309;2.227309;2.227309;2.715178;2.715178;2.595254;2.595254;2.595254;2.641320;2.641320;2.671916;2.671916;2.671916;2.631860;2.631860;2.631860;2.630364;2.630364;2.636953;2.636953;2.636953;2.630293;2.630293;
